Temperature,Voltage,AccelX,AccelY,AccelZ,Roll,Pitch
5.52,0.00,0.00,0.35,0.00,0.000000,0.00
5.52,1039.00,0.04,0.35,9.92,2.037481,-0.23
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.04,0.39,9.92,2.263644,-0.23
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.43,9.89,2.499604,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.39,9.96,2.254741,-0.00
5.52,1039.00,-0.04,0.39,9.89,2.272617,0.23
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.31,9.96,1.804128,-0.00
5.52,1039.00,-0.04,0.35,9.92,2.037481,0.23
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.04,0.35,9.89,2.045559,-0.23
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,-0.04,0.35,9.96,2.029466,0.23
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,0.00,0.35,9.85,2.053702,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.27,9.85,1.597594,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,-0.04,0.31,9.92,1.811254,0.23
5.52,1039.00,0.00,0.35,9.85,2.053702,-0.00
5.52,1039.00,-10.04,0.35,9.89,2.045559,45.44
5.52,1039.00,0.00,0.31,9.85,1.825677,-0.00
5.52,1039.00,0.04,0.39,9.89,2.272617,-0.23
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,-0.08,0.39,10.24,2.194329,0.44
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,-0.04,0.35,9.92,2.037481,0.23
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,-0.04,0.35,9.89,2.045559,0.23
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,-0.04,0.35,9.89,2.045559,0.23
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,-0.04,0.35,9.89,2.045559,0.23
5.52,1039.00,-0.04,0.39,9.96,2.254741,0.23
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,-0.04,0.39,9.89,2.272617,0.23
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,-0.04,0.39,9.92,2.263644,0.23
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.85,2.053702,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.35,9.85,2.053702,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.85,2.053702,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.85,2.281662,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.85,2.281662,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,-0.04,0.35,9.89,2.045559,0.23
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.27,9.85,1.597594,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.04,0.35,9.92,2.037481,-0.23
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,-0.04,0.39,9.92,2.263644,0.23
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.39,9.85,2.281662,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,-10.04,0.35,9.89,2.045559,45.44
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.04,0.31,9.89,1.818437,-0.23
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.96,2.254741,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.39,9.85,2.281662,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,-0.04,0.35,9.92,2.037481,0.23
5.52,1039.00,0.04,0.35,9.92,2.037481,-0.23
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.39,9.96,2.254741,-0.00
5.52,1039.00,0.00,0.35,9.85,2.053702,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,0.00,0.43,9.92,2.489736,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,-0.04,0.39,9.85,2.281662,0.23
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.04,0.35,9.92,2.037481,-0.23
5.52,1039.00,0.00,0.39,9.96,2.254741,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.81,2.061910,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,0.00,0.00,0.43,0.00,0.000000,0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,-0.04,0.35,9.89,2.045559,0.23
5.52,1039.00,0.04,0.35,9.85,2.053702,-0.23
5.52,1039.00,-0.04,0.35,9.92,2.037481,0.23
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.43,9.89,2.499604,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.85,2.053702,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,0.00,0.39,9.85,2.281662,-0.00
5.52,1039.00,0.04,0.24,9.85,1.369460,-0.23
5.52,1039.00,1.80,0.39,8.83,2.544992,-11.54
5.52,1039.00,1.53,0.94,9.34,5.758685,-9.26
5.52,1039.00,0.08,0.43,10.00,2.470233,-0.45
5.52,1039.00,0.04,0.31,9.89,1.818437,-0.23
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.96,2.254741,-0.00
5.52,1039.00,-10.04,0.35,9.85,2.053702,45.55
5.52,1039.00,0.00,0.39,9.85,2.281662,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.27,9.89,1.591257,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.39,9.96,2.254741,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.35,9.89,2.029466,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.31,9.85,1.825677,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,0.00,0.31,9.89,1.818437,-0.00
5.52,1039.00,0.00,0.39,9.89,2.272617,-0.00
5.52,1039.00,0.00,0.31,9.92,1.811254,-0.00
5.52,1039.00,0.00,0.27,10.00,1.572546,-0.00
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.35,9.89,2.045559,-0.00
5.52,1039.00,-0.04,0.35,9.92,2.037481,0.23
5.52,1039.00,-0.04,0.35,9.96,2.029466,0.23
5.52,1039.00,0.00,0.35,9.92,2.037481,-0.00
5.52,1039.00,0.00,0.39,9.92,2.263644,-0.00
5.52,1039.00,0.04,0.31,9.89,1.818437,-0.23
5.52,1039.00,0.00,0.35,9.96,2.029466,-0.00
